part,appraiser,trial,measurement
P01,A,1,0.29
P01,A,2,0.41
P01,A,3,0.64
P02,A,1,-0.56
P02,A,2,-0.68
P02,A,3,-0.58
P03,A,1,1.34
P03,A,2,1.17
P03,A,3,1.27
P04,A,1,0.47
P04,A,2,0.5
P04,A,3,0.64
P05,A,1,-0.8
P05,A,2,-0.92
P05,A,3,-0.84
P06,A,1,0.02
P06,A,2,-0.11
P06,A,3,-0.21
P07,A,1,0.59
P07,A,2,0.75
P07,A,3,0.66
P08,A,1,-0.31
P08,A,2,-0.2
P08,A,3,-0.17
P09,A,1,2.26
P09,A,2,1.99
P09,A,3,2.01
P10,A,1,-1.36
P10,A,2,-1.25
P10,A,3,-1.31
P01,B,1,0.08
P01,B,2,0.25
P01,B,3,0.07
P02,B,1,-0.47
P02,B,2,-1.22
P02,B,3,-0.68
P03,B,1,1.19
P03,B,2,0.94
P03,B,3,1.34
P04,B,1,0.01
P04,B,2,1.03
P04,B,3,0.2
P05,B,1,-0.56
P05,B,2,-1.2
P05,B,3,-1.28
P06,B,1,-0.2
P06,B,2,0.22
P06,B,3,0.06
P07,B,1,0.47
P07,B,2,0.55
P07,B,3,0.83
P08,B,1,-0.63
P08,B,2,0.08
P08,B,3,-0.34
P09,B,1,1.8
P09,B,2,2.12
P09,B,3,2.19
P10,B,1,-1.68
P10,B,2,-1.62
P10,B,3,-1.5
P01,C,1,0.04
P01,C,2,-0.11
P01,C,3,-0.15
P02,C,1,-1.38
P02,C,2,-1.13
P02,C,3,-0.96
P03,C,1,0.88
P03,C,2,1.09
P03,C,3,0.67
P04,C,1,0.14
P04,C,2,0.2
P04,C,3,0.11
P05,C,1,-1.46
P05,C,2,-1.07
P05,C,3,-1.45
P06,C,1,-0.29
P06,C,2,-0.67
P06,C,3,-0.49
P07,C,1,0.02
P07,C,2,0.01
P07,C,3,0.21
P08,C,1,-0.46
P08,C,2,-0.56
P08,C,3,-0.49
P09,C,1,1.77
P09,C,2,1.45
P09,C,3,1.87
P10,C,1,-1.49
P10,C,2,-1.77
P10,C,3,-2.16
