source_id	title	edition	on_machine_path	format	region	status	extraction_quality	license_class	serving_flag	rationale	cited_by
msa-4th	AIAG Measurement Systems Analysis Reference Manual	4th Edition (2010)	/Users/sid/Documents/Upskill/SixSigma/MSA_Reference_Manual_4th_Edition.md	md	whole-document	cited	clean	licensed-commercial	paraphrase-and-point	Tier 2 licensed handbook — personal study copy, no redistribution licence; locator cites the published manual, never the local file. The .pdf sibling is the source of this .md extraction.	apps/msa/docs/ASSUMPTIONS_LOG.md,apps/msa/docs/CITATIONS.tsv
fmea-vda-2019	AIAG & VDA Failure Mode and Effects Analysis Handbook	1st Edition (June 2019)	/Users/sid/Documents/Upskill/SixSigma/pdfcoffee.com_aiag-vda-fmea-handbook-1-version-juni-2019-englisch-pdf-free.md	md	DFMEA-severity-and-AP-prose	cited	clean	licensed-commercial	paraphrase-and-point	Tier 2 licensed handbook — DFMEA D1 Severity table and Action Priority prose extract cleanly and are CI-verified verbatim by apps/fmea/tests/test_citations.py; served as paraphrase plus locator only.	apps/fmea/docs/ASSUMPTIONS_LOG.md,apps/fmea/docs/CITATIONS.tsv
fmea-vda-2019	AIAG & VDA Failure Mode and Effects Analysis Handbook	1st Edition (June 2019)	/Users/sid/Documents/Upskill/SixSigma/pdfcoffee.com_aiag-vda-fmea-handbook-1-version-juni-2019-englisch-pdf-free.md	md	PFMEA-O-D-tables-and-AP-band-labels	cited	mangled	licensed-commercial	never-ship	Excluded — OCR cell-merge damage at ~L2939/L3001/L4717/L4814 (issue #256, Hih/g, Mdt/oerae); a mangled extraction cannot be safely paraphrased either, because the extraction itself may misstate the standard.	apps/fmea/docs/ASSUMPTIONS_LOG.md,apps/fmea/tests/test_citations.py
fmea-4-2008	AIAG Potential Failure Mode and Effects Analysis (FMEA)	4th Edition (2008)	not-located	none	whole-document	not-held	n/a	licensed-commercial	N/A	Not held — cited by app logs (Occurrence table) but no local copy located; nothing to serve.	apps/fmea/docs/ASSUMPTIONS_LOG.md,apps/spc/docs/ASSUMPTIONS_LOG.md
aiag-spc-4th	AIAG Statistical Process Control (SPC) Reference Manual	4th Edition (2005) — cited edition	not-located	none	whole-document	not-held	n/a	licensed-commercial	N/A	Not held — EDITION MISMATCH: app logs cite the 4th Ed. (2005); the only on-machine copy is the 2nd Ed. (row aiag-spc-2nd). Ledgered separately rather than merged, so the gap stays visible.	apps/spc/docs/ASSUMPTIONS_LOG.md,apps/controlplan/docs/ASSUMPTIONS_LOG.md
aiag-spc-2nd	AIAG Statistical Process Control (SPC) Reference Manual	2nd Edition — held edition	/Users/sid/Documents/Upskill/SixSigma/pdfcoffee.com_aiag-spc-2nd-edition-pdf-free.pdf	pdf	whole-document	not-yet-cited	clean	licensed-commercial	paraphrase-and-point	Tier 2 licensed handbook — held edition does not match the cited one (see aiag-spc-4th); any locator must name the 2nd Ed. explicitly. Local file is a pdfcoffee scrape: cite the published standard, never the scrape.	none
aiag-ppap-4th	AIAG Production Part Approval Process (PPAP)	4th Edition (2006)	/Users/sid/Documents/Upskill/SixSigma/AIAG Production Part Approval Process (PPAP), 4th Edition (2006).pdf	pdf	whole-document	not-yet-cited	clean	licensed-commercial	paraphrase-and-point	Tier 2 licensed handbook — gathered but not yet cited by any app log; ledgered now so M4-2 need not guess whether to ingest it.	none
aiag-apqp-2nd	AIAG Advanced Product Quality Planning (APQP) and Control Plan	2nd Edition	/Users/sid/Documents/Upskill/SixSigma/pdfcoffee.com_aiag-advanced-product-quality-planning-apqp-2nd-edition-pdf-free.pdf	pdf	whole-document	not-yet-cited	not-extracted	licensed-commercial	paraphrase-and-point	Tier 2 licensed handbook — gathered but not yet cited. Local file is a pdfcoffee scrape: cite the published standard, never the scrape.	none
iatf-16949-2016	IATF 16949 Quality Management System Standard for Automotive Production	1st Edition (2016)	/Users/sid/Documents/Upskill/SixSigma/pdfcoffee.com_iatf16949-2016-standard-pdf-free.pdf	pdf	whole-document	not-yet-cited	not-extracted	licensed-commercial	paraphrase-and-point	Tier 2 — IATF 16949 is a commercially licensed automotive standard published by IATF, not an ISO/SAE/NIST public standard, so it takes the licensed-handbook tier rather than Tier 1. Local file is a pdfcoffee scrape.	none
iso-9001-2015	ISO 9001:2015 Quality management systems — Requirements	2015	/Users/sid/Documents/Upskill/SixSigma/ISO-9001-2015.pdf	pdf	whole-document	not-yet-cited	not-extracted	public-standard	quote	Tier 1 public consensus standard (ISO) — short cited excerpt permitted under the quote cap, with clause-number locator. SME RATIFIED 2026-08-15: ISO is sold commercially, but short cited excerpts under the 50-word / 2-sentence quote cap (at most 50 words, 2 sentences) are accepted quotable exposure (see CORPUS_LEDGER.md ISO ratification note); local-copy provenance unverified, so quote against the published clause number only, never this local file.	none
